n: 100000T(n): 29594457, T(n)/(n*n): 2.0988002990567654E-11, T(n)/(n log n): 1.7817638524775757E-8, 

n: 100000T(n): 18183662, T(n)/(n*n): 1.2895615974149193E-11, T(n)/(n log n): 1.09476553860306E-8, 

n: 100000T(n): 9820576, T(n)/(n*n): 6.964624438187763E-12, T(n)/(n log n): 5.912575901395595E-9, 

n: 100000T(n): 5404285, T(n)/(n*n): 3.8326484497377306E-12, T(n)/(n log n): 3.2537037802338373E-9, 

n: 100000T(n): 4858941, T(n)/(n*n): 3.4458975962624283E-12, T(n)/(n log n): 2.925373976323081E-9, 

n: 100000T(n): 7036267, T(n)/(n*n): 4.990028802975925E-12, T(n)/(n log n): 4.236254849001227E-9, 

n: 100000T(n): 5428982, T(n)/(n*n): 3.850163240087087E-12, T(n)/(n log n): 3.2685728558396636E-9, 

n: 100000T(n): 5125564, T(n)/(n*n): 3.6349831510794712E-12, T(n)/(n log n): 3.0858970173909162E-9, 

n: 100000T(n): 6739711, T(n)/(n*n): 4.77971515488734E-12, T(n)/(n log n): 4.057710346212973E-9, 

n: 100000T(n): 4740266, T(n)/(n*n): 3.3617348337929017E-12, T(n)/(n log n): 2.853924506852235E-9, 

n: 200000T(n): 10074328, T(n)/(n*n): 7.488567914404719E-12, T(n)/(n log n): 2.860458171938401E-9, 

n: 200000T(n): 10095130, T(n)/(n*n): 7.504030701575778E-12, T(n)/(n log n): 2.8663645957606814E-9, 

n: 200000T(n): 10406482, T(n)/(n*n): 7.735468530211667E-12, T(n)/(n log n): 2.9547684449056924E-9, 

n: 200000T(n): 9735948, T(n)/(n*n): 7.237039315090077E-12, T(n)/(n log n): 2.764380117281007E-9, 

n: 200000T(n): 9859484, T(n)/(n*n): 7.328867546796838E-12, T(n)/(n log n): 2.7994563586668922E-9, 

n: 200000T(n): 10188073, T(n)/(n*n): 7.573118184896603E-12, T(n)/(n log n): 2.89275440199634E-9, 

n: 200000T(n): 10411023, T(n)/(n*n): 7.738843999711896E-12, T(n)/(n log n): 2.956057795476646E-9, 

n: 200000T(n): 9894059, T(n)/(n*n): 7.354568242231862E-12, T(n)/(n log n): 2.809273424509375E-9, 

n: 200000T(n): 10604632, T(n)/(n*n): 7.882759717498728E-12, T(n)/(n log n): 3.0110302409053454E-9, 

n: 200000T(n): 10239395, T(n)/(n*n): 7.61126745723547E-12, T(n)/(n log n): 2.9073265336859397E-9, 

n: 300000T(n): 15198585, T(n)/(n*n): -7.821693919161937E-11, T(n)/(n log n): 2.784449326493762E-9, 

n: 300000T(n): 15744323, T(n)/(n*n): -8.102548722162058E-11, T(n)/(n log n): 2.8844309896908328E-9, 

n: 300000T(n): 15689486, T(n)/(n*n): -8.074327790447357E-11, T(n)/(n log n): 2.8743846039439396E-9, 

n: 300000T(n): 15785649, T(n)/(n*n): -8.123816446947179E-11, T(n)/(n log n): 2.8920020992952254E-9, 

n: 300000T(n): 18333796, T(n)/(n*n): -9.435177069994045E-11, T(n)/(n log n): 3.358834123326219E-9, 

n: 300000T(n): 15647459, T(n)/(n*n): -8.052699307905026E-11, T(n)/(n log n): 2.8666850679776277E-9, 

n: 300000T(n): 15148095, T(n)/(n*n): -7.795710097248352E-11, T(n)/(n log n): 2.7751993307543778E-9, 

n: 300000T(n): 15509763, T(n)/(n*n): -7.981836397581933E-11, T(n)/(n log n): 2.8414585396882583E-9, 

n: 300000T(n): 15160774, T(n)/(n*n): -7.8022351294932E-11, T(n)/(n log n): 2.7775221807440716E-9, 

n: 300000T(n): 15524564, T(n)/(n*n): -7.989453481126059E-11, T(n)/(n log n): 2.8441701496494112E-9, 

n: 400000T(n): 21316483, T(n)/(n*n): 1.9624641697293523E-11, T(n)/(n log n): 2.8636344465226842E-9, 

n: 400000T(n): 21236685, T(n)/(n*n): 1.955117708504203E-11, T(n)/(n log n): 2.8529144651090705E-9, 

n: 400000T(n): 23222708, T(n)/(n*n): 2.1379573907237508E-11, T(n)/(n log n): 3.1197147564322835E-9, 

n: 400000T(n): 20883344, T(n)/(n*n): 1.922587996534534E-11, T(n)/(n log n): 2.805446997845884E-9, 

n: 400000T(n): 21790284, T(n)/(n*n): 2.0060838177773882E-11, T(n)/(n log n): 2.9272843865431317E-9, 

n: 400000T(n): 21868507, T(n)/(n*n): 2.0132852794232297E-11, T(n)/(n log n): 2.9377927840733595E-9, 

n: 400000T(n): 21357344, T(n)/(n*n): 1.9662259651643363E-11, T(n)/(n log n): 2.869123671322074E-9, 

n: 400000T(n): 22382445, T(n)/(n*n): 2.0606000691313804E-11, T(n)/(n log n): 3.006834687476326E-9, 

n: 400000T(n): 21371198, T(n)/(n*n): 1.967501409082896E-11, T(n)/(n log n): 2.87098480346203E-9, 

n: 400000T(n): 21964592, T(n)/(n*n): 2.0221311743932606E-11, T(n)/(n log n): 2.9507007443496463E-9, 

n: 500000T(n): 26857396, T(n)/(n*n): 3.0112671148045966E-11, T(n)/(n log n): 2.8373133374186927E-9, 

n: 500000T(n): 27571512, T(n)/(n*n): 3.091334222835316E-11, T(n)/(n log n): 2.912755158035408E-9, 

n: 500000T(n): 27272407, T(n)/(n*n): 3.0577983934357104E-11, T(n)/(n log n): 2.8811566141635967E-9, 

n: 500000T(n): 27498558, T(n)/(n*n): 3.083154577232538E-11, T(n)/(n log n): 2.9050480312082935E-9, 

n: 500000T(n): 27270050, T(n)/(n*n): 3.0575341252024987E-11, T(n)/(n log n): 2.880907612081031E-9, 

n: 500000T(n): 27528528, T(n)/(n*n): 3.0865148313476685E-11, T(n)/(n log n): 2.9082141713926376E-9, 

n: 500000T(n): 28114824, T(n)/(n*n): 3.152250685424567E-11, T(n)/(n log n): 2.970152620692608E-9, 

n: 500000T(n): 27655002, T(n)/(n*n): 3.100695170985875E-11, T(n)/(n log n): 2.921575346356759E-9, 

n: 500000T(n): 28034038, T(n)/(n*n): 3.14319291135233E-11, T(n)/(n log n): 2.961618092800302E-9, 

n: 500000T(n): 27554076, T(n)/(n*n): 3.0893792882089754E-11, T(n)/(n log n): 2.9109131553575897E-9, 

n: 600000T(n): 33503617, T(n)/(n*n): -4.3105170211376665E-11, T(n)/(n log n): 2.9091178254082704E-9, 

n: 600000T(n): 33211140, T(n)/(n*n): -4.2728874396273694E-11, T(n)/(n log n): 2.8837220583117824E-9, 

n: 600000T(n): 34461537, T(n)/(n*n): -4.433761340247696E-11, T(n)/(n log n): 2.9922939835918806E-9, 

n: 600000T(n): 33121406, T(n)/(n*n): -4.261342419447167E-11, T(n)/(n log n): 2.8759304584094438E-9, 

n: 600000T(n): 33422235, T(n)/(n*n): -4.30004655473357E-11, T(n)/(n log n): 2.9020514293571403E-9, 

n: 600000T(n): 34480152, T(n)/(n*n): -4.436156313732155E-11, T(n)/(n log n): 2.9939103233536436E-9, 

n: 600000T(n): 34117303, T(n)/(n*n): -4.389472793245314E-11, T(n)/(n log n): 2.962404158098962E-9, 

n: 600000T(n): 34630076, T(n)/(n*n): -4.455445274499497E-11, T(n)/(n log n): 3.006928218730627E-9, 

n: 600000T(n): 32226222, T(n)/(n*n): -4.146169604850758E-11, T(n)/(n log n): 2.798201664786347E-9, 

n: 600000T(n): 31647313, T(n)/(n*n): -4.0716881810036026E-11, T(n)/(n log n): 2.7479350177198746E-9, 

n: 700000T(n): 39049214, T(n)/(n*n): 1.044855810955862E-10, T(n)/(n log n): 2.872977527647912E-9, 

